date,county,state,fips,cases,deaths
4/1/2020,CALI,VALLE,76001,23,0
4/1/2020,CARTAGO,VALLE,76147,1,0
4/1/2020,CIRCASIA,QUINDIO,63190,2,0
4/1/2020,COTA,CUNDINAMARCA,25214,1,0
4/1/2020,CUMBAL,NARIÑO,52227,2,0
4/1/2020,ENVIGADO,ANTIOQUIA,05266,2,0
4/1/2020,FILANDIA,QUINDIO,63272,1,0
4/1/2020,FLORIDABLANCA,SANTANDER,68276,1,0
4/1/2020,FUNZA,CUNDINAMARCA,25286,1,0
4/1/2020,IBAGUE,TOLIMA,73001,5,0
4/1/2020,MADRID,CUNDINAMARCA,25430,1,0
4/1/2020,MEDELLIN,ANTIOQUIA,05001,1,0
4/1/2020,MONTENEGRO,QUINDIO,63470,2,0
4/1/2020,NEIVA,HUILA,41001,6,0
4/1/2020,PALMIRA,VALLE,76520,1,0
4/1/2020,PASTO,NARIÑO,52001,1,0
4/1/2020,POPAYAN,CAUCA,19001,2,0
4/1/2020,SAN ANDRES,SAN ANDRES,88001,1,0
4/1/2020,SANTA MARTA,STA MARTA D.E.,47001,2,0
4/1/2020,SANTA ROSA DE OSOS,ANTIOQUIA,05686,1,0
4/1/2020,SANTANDER DE QUILICHAO,CAUCA,19698,1,1
4/1/2020,SOACHA,CUNDINAMARCA,25754,2,0
4/1/2020,TOCANCIPA,CUNDINAMARCA,25817,1,0
4/1/2020,TULUA,VALLE,76834,1,0
4/1/2020,ULLOA,VALLE,76845,1,0
4/1/2020,VALLEDUPAR,CESAR,20001,5,1
4/1/2020,VILLAVICENCIO,META,50001,1,0
4/1/2020,YOPAL,CASANARE,85001,1,0
4/1/2020,YUMBO,VALLE,76892,4,0
4/2/2020,ANSERMA,CALDAS,17042,1,0
4/2/2020,BARRANQUILLA,BARRANQUILLA,08001,1,0
4/2/2020,BELLO,ANTIOQUIA,05088,2,0
4/2/2020,BOGOTA,BOGOTA,11001,68,4
4/2/2020,CALDAS,ANTIOQUIA,05129,1,0
4/2/2020,CALI,VALLE,76001,2,0
4/2/2020,CUCUTA,NORTE SANTANDER,54001,2,0
4/2/2020,DON MATIAS,ANTIOQUIA,05237,1,0
4/2/2020,ENVIGADO,ANTIOQUIA,05266,2,0
4/2/2020,ITAGUI,ANTIOQUIA,05360,1,0
4/2/2020,MEDELLIN,ANTIOQUIA,05001,10,0
4/2/2020,PALMIRA,VALLE,76520,1,0
4/2/2020,RIONEGRO,ANTIOQUIA,05615,3,0
4/2/2020,SOACHA,CUNDINAMARCA,25754,2,0
4/3/2020,BARRANQUILLA,BARRANQUILLA,08001,8,0
4/3/2020,BOGOTA,BOGOTA,11001,44,4
4/3/2020,CALI,VALLE,76001,15,2
4/3/2020,CARTAGENA,CARTAGENA,13001,3,0
4/3/2020,CHOACHI,CUNDINAMARCA,25181,1,0
4/3/2020,CUCUTA,NORTE SANTANDER,54001,4,1
4/3/2020,ENVIGADO,ANTIOQUIA,05266,2,0
4/3/2020,IBAGUE,TOLIMA,73001,1,0
4/3/2020,ITAGUI,ANTIOQUIA,05360,4,0
4/3/2020,MADRID,CUNDINAMARCA,25430,1,0
4/3/2020,MEDELLIN,ANTIOQUIA,05001,11,0
4/3/2020,NEIVA,HUILA,41001,2,0
4/3/2020,PALMIRA,VALLE,76520,1,0
4/3/2020,PEREIRA,RISARALDA,66001,2,0
4/3/2020,SABANETA,ANTIOQUIA,05631,1,0
4/3/2020,SOACHA,CUNDINAMARCA,25754,1,0
4/3/2020,SOLEDAD,ATLANTICO,08758,3,0
4/3/2020,TULUA,VALLE,76834,1,1
4/3/2020,VILLAVICENCIO,META,50001,1,1
4/4/2020,BOGOTA,BOGOTA,11001,104,8
4/4/2020,CAJICA,CUNDINAMARCA,25126,1,0
4/4/2020,CALI,VALLE,76001,13,2
4/4/2020,CHIA,CUNDINAMARCA,25175,3,0
4/4/2020,COCORNA,ANTIOQUIA,05197,1,0
4/4/2020,LA ESTRELLA,ANTIOQUIA,05380,1,0
4/4/2020,MEDELLIN,ANTIOQUIA,05001,2,0
4/4/2020,MONTERIA,CORDOBA,23001,1,1
4/4/2020,MOSQUERA,CUNDINAMARCA,25473,2,0
4/4/2020,NEIVA,HUILA,41001,2,0
4/4/2020,SABANETA,ANTIOQUIA,05631,1,0
4/4/2020,SOACHA,CUNDINAMARCA,25754,1,0
4/4/2020,TOGUI,BOYACA,15816,7,0
4/5/2020,ACACIAS,META,50006,1,0
4/5/2020,APARTADO,ANTIOQUIA,05045,2,0
4/5/2020,BARRANQUILLA,BARRANQUILLA,08001,2,0
4/5/2020,BELLO,ANTIOQUIA,05088,3,0
4/5/2020,BOGOTA,BOGOTA,11001,30,5
4/5/2020,BUENAVENTURA,VALLE,76109,1,0
4/5/2020,CALDAS,ANTIOQUIA,05129,1,0
4/5/2020,CALI,VALLE,76001,14,0
4/5/2020,COTA,CUNDINAMARCA,25214,1,0
4/5/2020,ENVIGADO,ANTIOQUIA,05266,2,0
4/5/2020,GUACARI,VALLE,76318,1,0
4/5/2020,GUARNE,ANTIOQUIA,05318,1,0
4/5/2020,ITAGUI,ANTIOQUIA,05360,2,0
4/5/2020,MEDELLIN,ANTIOQUIA,05001,9,0
4/5/2020,MONTEBELLO,ANTIOQUIA,05467,2,0
4/5/2020,MOSQUERA,CUNDINAMARCA,25473,1,0
4/5/2020,PALMIRA,VALLE,76520,1,0
4/5/2020,SOACHA,CUNDINAMARCA,25754,1,0
4/5/2020,SOLEDAD,ATLANTICO,08758,2,1
4/5/2020,TENJO,CUNDINAMARCA,25799,1,1
4/5/2020,ZIPAQUIRA,CUNDINAMARCA,25899,1,0
4/6/2020,BARRANCABERMEJA,SANTANDER,68081,1,1
4/6/2020,BARRANQUILLA,BARRANQUILLA,08001,1,0
4/6/2020,BELLO,ANTIOQUIA,05088,1,0
4/6/2020,BOGOTA,BOGOTA,11001,53,3
4/6/2020,BUENAVENTURA,VALLE,76109,1,0
4/6/2020,CALDAS,ANTIOQUIA,05129,1,0
4/6/2020,CALI,VALLE,76001,10,1
4/6/2020,CARTAGENA,CARTAGENA,13001,11,1
4/6/2020,CHIA,CUNDINAMARCA,25175,1,0
4/6/2020,EL DOVIO,VALLE,76250,2,1
4/6/2020,FLORIDABLANCA,SANTANDER,68276,1,1
4/6/2020,MEDELLIN,ANTIOQUIA,05001,5,1
4/6/2020,POPAYAN,CAUCA,19001,1,1
4/6/2020,RIONEGRO,ANTIOQUIA,05615,1,0
4/6/2020,SABANETA,ANTIOQUIA,05631,3,0
4/6/2020,SAN JUAN DE RIO SECO,CUNDINAMARCA,25662,1,0
4/6/2020,SANTO TOMAS,ATLANTICO,08685,1,0
4/6/2020,SOACHA,CUNDINAMARCA,25754,1,0
4/6/2020,SUBACHOQUE,CUNDINAMARCA,25769,1,0
4/6/2020,YUMBO,VALLE,76892,1,0
4/7/2020,ANGOSTURA,ANTIOQUIA,05038,1,0
4/7/2020,BARRANQUILLA,BARRANQUILLA,08001,3,0
4/7/2020,BOGOTA,BOGOTA,11001,84,4
4/7/2020,CALI,VALLE,76001,13,3
4/7/2020,CARTAGENA,CARTAGENA,13001,3,2
