date,county,state,fips,cases,deaths
2020-04-02,CALDAS,ANTIOQUIA,5129,1,0
2020-04-02,CALI,VALLE,76001,2,0
2020-04-02,CUCUTA,NORTE SANTANDER,54001,2,0
2020-04-02,DON MATIAS,ANTIOQUIA,5237,1,0
2020-04-02,ENVIGADO,ANTIOQUIA,5266,2,0
2020-04-02,ITAGUI,ANTIOQUIA,5360,1,0
2020-04-02,MEDELLIN,ANTIOQUIA,5001,10,0
2020-04-02,PALMIRA,VALLE,76520,1,0
2020-04-02,RIONEGRO,ANTIOQUIA,5615,3,0
2020-04-02,SOACHA,CUNDINAMARCA,25754,2,0
2020-04-03,BARRANQUILLA,BARRANQUILLA,8001,8,0
2020-04-03,BOGOTA,BOGOTA,11001,44,4
2020-04-03,CALI,VALLE,76001,15,2
2020-04-03,CARTAGENA,CARTAGENA,13001,3,0
2020-04-03,CHOACHI,CUNDINAMARCA,25181,1,0
2020-04-03,CUCUTA,NORTE SANTANDER,54001,4,1
2020-04-03,ENVIGADO,ANTIOQUIA,5266,2,0
2020-04-03,IBAGUE,TOLIMA,73001,1,0
2020-04-03,ITAGUI,ANTIOQUIA,5360,4,0
2020-04-03,MADRID,CUNDINAMARCA,25430,1,0
2020-04-03,MEDELLIN,ANTIOQUIA,5001,11,0
2020-04-03,NEIVA,HUILA,41001,2,0
2020-04-03,PALMIRA,VALLE,76520,1,0
2020-04-03,PEREIRA,RISARALDA,66001,2,0
2020-04-03,SABANETA,ANTIOQUIA,5631,1,0
2020-04-03,SOACHA,CUNDINAMARCA,25754,1,0
2020-04-03,SOLEDAD,ATLANTICO,8758,3,0
2020-04-03,TULUA,VALLE,76834,1,1
2020-04-03,VILLAVICENCIO,META,50001,1,1
2020-04-04,BOGOTA,BOGOTA,11001,104,8
2020-04-04,CAJICA,CUNDINAMARCA,25126,1,0
2020-04-04,CALI,VALLE,76001,13,2
2020-04-04,CHIA,CUNDINAMARCA,25175,3,0
2020-04-04,COCORNA,ANTIOQUIA,5197,1,0
2020-04-04,LA ESTRELLA,ANTIOQUIA,5380,1,0
