"id" "rend"
"54223" 12
"54874" 16
"54051" 15
"54660" 5
"54250" 5
"54313" 6
"63548" 2
"66456" 10
"66170" 12
"66318" 10
"68255" 10
"68547" 7
"68770" 4.77
"68500" 3
"68169" 20
"68705" 8.8
"68773" 10
"68271" 5
"68235" 6
"68745" 4.8
"68160" 8
"68298" 3.5
"68344" 10
"68132" 15
"73124" 12
"73001" 12.5
"73043" 9
"73461" 10
"73622" 11
"73686" 15
"73168" 7
"73675" 12
"73152" 10
"76250" 12
"76100" 11
"76622" 15
"76863" 10
"76111" 8
"76318" 8
"76834" 7
"76233" 6
"76400" 6
"76869" 6
"76828" 5
"76520" 3
"76892" 2.5
"76275" 2
"76890" 2
"08606" 4.2
"13442" 4.2
"13006" 4.78
"13212" 4.2
"13473" 4.78
"13433" 4.2
"85125" 4.77
"85325" 5.08
"85440" 4.67
"85430" 5.08
"19698" 4.17
"19142" 4.17
"19532" 4.17
"19300" 4.17
"19513" 4.17
"20001" 4.2
"20770" 4.2
"20045" 4.2
"20787" 4.2
"20250" 4.2
"20400" 4.2
"20060" 4.2
"20178" 4.2
"20550" 4.2
"20383" 4.2
"20011" 4.2
"20013" 4.2
"20710" 4.2
"20295" 4.2
"20175" 4.2
"20750" 4.2
"20228" 4.2
"20517" 4.2
"20238" 4.2
"23350" 4.78
"23001" 4.78
"23162" 4.78
"25530" 4.17
"25815" 4.17
"25662" 4.17
"41132" 7.39
"41524" 7.18
"41872" 7.6
"41885" 8.24
"41799" 7.29
"41016" 7.92
"41001" 7.18
"41797" 6.97
"41615" 7.92
"41078" 7.39
"41298" 5.49
"41518" 6.97
"41801" 7.08
"41026" 7.39
"41349" 7.29
"41357" 7.6
"41306" 7.23
"44279" 4.2
"44098" 4.2
"44090" 4.2
"44650" 4.2
"44874" 4.2
"47268" 4.2
"47551" 4.2
"47980" 4.2
"47288" 4.2
"47570" 4.2
"50124" 5.42
"50573" 4.51
"50150" 3.88
"50680" 4.97
"50226" 5.28
"50689" 5.42
"50001" 4.33
"50313" 4.51
"50683" 4.6
"54001" 4.31
"54261" 4.31
"54553" 4.31
"54810" 4.31
"54385" 4.31
"54673" 4.31
"54405" 4.31
"54874" 4.31
"54680" 4.31
"68655" 4.31
"73585" 6.67
"73319" 7.9
"73001" 7.19
"73671" 6.98
"73268" 7.7
"73030" 7.08
"73055" 6.67
"73168" 6.67
"73408" 7.7
"73547" 7.7
"73861" 7.19
"73563" 7.19
"73026" 7.29
"73678" 6.16
"73504" 6.67
"73217" 7.49
"73275" 7.7
"73483" 7.6
"73024" 7.38
"73854" 6.57
"73200" 7.19
"73270" 7.19
"76364" 4.17
"76041" 4.17
"76109" 4.17
"76100" 4.17
"76622" 4.17
"76895" 4.17
"76111" 4.17
"08606" 6.44
"13006" 4.14
"13473" 4.6
"13442" 3.68
"13433" 4.6
"85440" 5.01
"85225" 6.27
"85410" 5.74
"85125" 6.89
"85325" 5.43
"85430" 4.18
"19698" 6.57
"19142" 5.52
"19532" 4.6
"19300" 5.52
"19513" 3.68
"20001" 4.79
"20770" 4.69
"20787" 4.14
"20400" 4.14
"20060" 3.68
"20045" 4.14
"20250" 4.6
"20550" 5.25
"20178" 4.6
"20011" 4.42
"20383" 4.79
"20295" 3.68
"20013" 5.06
"20750" 5.52
"20175" 5.06
"20710" 5.06
"20517" 4.14
"20228" 4.6
"20238" 5.52
"23001" 5.98
"23417" 6.44
"23675" 4.6
"23350" 4.6
"23162" 5.52
"25530" 4.6
"25815" 4.6
"25662" 6.9
"41132" 7.03
"41524" 7.53
"41872" 7.11
"41799" 7.03
"41797" 6.82
"41885" 7.83
"41016" 7.03
"41001" 6.87
"41615" 7.63
"41518" 6.62
"41078" 7.03
"41298" 5.82
"41801" 6.82
"41349" 6.92
"41026" 7.03
"41306" 6.92
"41357" 7.03
"44279" 5.52
"44098" 5.71
"44090" 5.52
"44874" 5.52
"44110" 4.6
"47551" 5.34
"47268" 4.33
"47980" 4.14
"47570" 4.14
"50680" 5.36
"50573" 4.47
"50150" 5.26
"50689" 5.96
"50313" 4.96
"54001" 5.52
"54261" 5.34
"54810" 5.61
"54553" 4.6
"54385" 5.61
"54673" 5.61
"54405" 5.25
"54874" 5.61
"54680" 5.52
"68655" 5.34
"73585" 6.65
"73268" 7.67
"73319" 7.87
"73671" 6.95
"73001" 7.16
"73408" 7.67
"73055" 6.65
"73547" 7.77
"73861" 7.16
"73563" 7.16
"73026" 7.26
"73504" 6.65
"73030" 6.14
"73483" 7.57
"73217" 7.46
"73275" 7.67
"73168" 6.65
"73678" 6.14
